variant,operation_seq,operation_name,workcenter_code,setup_time_min,run_time_min,qty_per_cycle
spartan,10,3D-Druck Füße,WC-3D,10,60,4
spartan,20,3D-Druck Haube,WC-3D,10,240,1
spartan,30,Laserschneiden Grundplatte,WC-LC,10,10,1
spartan,40,Nacharbeit Grundplatte,WC-NACH,5,15,1
spartan,50,Nacharbeit Füße,WC-NACH,5,10,4
spartan,60,Nacharbeit Haube,WC-NACH,5,10,1
spartan,70,WT bestücken,WC-WTB,5,8,1
spartan,80,Löten Elektronik,WC-LOET,5,15,1
spartan,90,Montage Elektronik,WC-MONT1,5,10,1
spartan,100,Flashen Flugcontroller,WC-FLASH,5,8,1
spartan,110,Montage Gehäuse & Rotoren,WC-MONT2,5,12,1
spartan,120,End-Qualitätskontrolle,WC-QM-END,2,5,1

balance,10,3D-Druck Füße,WC-3D,10,60,4
balance,20,3D-Druck Haube,WC-3D,10,240,1
balance,30,Laserschneiden Grundplatte,WC-LC,10,10,1
balance,40,Nacharbeit Grundplatte,WC-NACH,5,15,1
balance,50,Nacharbeit Füße,WC-NACH,5,10,4
balance,60,Nacharbeit Haube,WC-NACH,5,10,1
balance,70,WT bestücken,WC-WTB,5,8,1
balance,80,Löten Elektronik,WC-LOET,5,15,1
balance,90,Montage Elektronik,WC-MONT1,5,10,1
balance,100,Flashen Flugcontroller,WC-FLASH,5,8,1
balance,110,Montage Gehäuse & Rotoren,WC-MONT2,5,12,1
balance,120,End-Qualitätskontrolle,WC-QM-END,2,5,1

lightweight,10,3D-Druck Füße,WC-3D,10,60,4
lightweight,20,3D-Druck Haube,WC-3D,10,240,1
lightweight,30,Laserschneiden Grundplatte,WC-LC,10,10,1
lightweight,40,Nacharbeit Grundplatte,WC-NACH,5,15,1
lightweight,50,Nacharbeit Füße,WC-NACH,5,10,4
lightweight,60,Nacharbeit Haube,WC-NACH,5,10,1
lightweight,70,WT bestücken,WC-WTB,5,8,1
lightweight,80,Löten Elektronik,WC-LOET,5,15,1
lightweight,90,Montage Elektronik,WC-MONT1,5,10,1
lightweight,100,Flashen Flugcontroller,WC-FLASH,5,8,1
lightweight,110,Montage Gehäuse & Rotoren,WC-MONT2,5,12,1
lightweight,120,End-Qualitätskontrolle,WC-QM-END,2,5,1
